Province/State,Country/Region,Lat,Long,period,confirmed,location
Thailand,Thailand,15.0,101.0,1/22/20,2,"15.0,101.0"
Japan,Japan,36.0,138.0,1/22/20,2,"36.0,138.0"
Singapore,Singapore,1.2833,103.8333,1/22/20,0,"1.2833,103.8333"
Nepal,Nepal,28.1667,84.25,1/22/20,0,"28.1667,84.25"
Malaysia,Malaysia,2.5,112.5,1/22/20,0,"2.5,112.5"
British Columbia,Canada,49.2827,-123.1207,1/22/20,0,"49.2827,-123.1207"
New South Wales,Australia,-33.8688,151.2093,1/22/20,0,"-33.8688,151.2093"
Victoria,Australia,-37.8136,144.9631,1/22/20,0,"-37.8136,144.9631"
Queensland,Australia,-28.0167,153.4,1/22/20,0,"-28.0167,153.4"
Cambodia,Cambodia,11.55,104.9167,1/22/20,0,"11.55,104.9167"
Sri Lanka,Sri Lanka,7.0,81.0,1/22/20,0,"7.0,81.0"
Germany,Germany,51.0,9.0,1/22/20,0,"51.0,9.0"
Finland,Finland,64.0,26.0,1/22/20,0,"64.0,26.0"
United Arab Emirates,United Arab Emirates,24.0,54.0,1/22/20,0,"24.0,54.0"
Philippines,Philippines,13.0,122.0,1/22/20,0,"13.0,122.0"
India,India,21.0,78.0,1/22/20,0,"21.0,78.0"
Italy,Italy,43.0,12.0,1/22/20,0,"43.0,12.0"
Sweden,Sweden,63.0,16.0,1/22/20,0,"63.0,16.0"
Spain,Spain,40.0,-4.0,1/22/20,0,"40.0,-4.0"
South Australia,Australia,-34.9285,138.6007,1/22/20,0,"-34.9285,138.6007"
Belgium,Belgium,50.8333,4.0,1/22/20,0,"50.8333,4.0"
Egypt,Egypt,26.0,30.0,1/22/20,0,"26.0,30.0"
From Diamond Princess,Australia,35.4437,139.638,1/22/20,0,"35.4437,139.638"
Lebanon,Lebanon,33.8547,35.8623,1/22/20,0,"33.8547,35.8623"
Iraq,Iraq,33.0,44.0,1/22/20,0,"33.0,44.0"
Oman,Oman,21.0,57.0,1/22/20,0,"21.0,57.0"
Afghanistan,Afghanistan,33.0,65.0,1/22/20,0,"33.0,65.0"
Bahrain,Bahrain,26.0275,50.55,1/22/20,0,"26.0275,50.55"
Kuwait,Kuwait,29.5,47.75,1/22/20,0,"29.5,47.75"
Algeria,Algeria,28.0339,1.6596,1/22/20,0,"28.0339,1.6596"
Croatia,Croatia,45.1,15.2,1/22/20,0,"45.1,15.2"
Switzerland,Switzerland,46.8182,8.2275,1/22/20,0,"46.8182,8.2275"
Austria,Austria,47.5162,14.5501,1/22/20,0,"47.5162,14.5501"
Israel,Israel,31.0,35.0,1/22/20,0,"31.0,35.0"
Pakistan,Pakistan,30.3753,69.3451,1/22/20,0,"30.3753,69.3451"
Brazil,Brazil,-14.235,-51.9253,1/22/20,0,"-14.235,-51.9253"
Georgia,Georgia,42.3154,43.3569,1/22/20,0,"42.3154,43.3569"
Greece,Greece,39.0742,21.8243,1/22/20,0,"39.0742,21.8243"
North Macedonia,North Macedonia,41.6086,21.7453,1/22/20,0,"41.6086,21.7453"
Norway,Norway,60.472,8.4689,1/22/20,0,"60.472,8.4689"
Romania,Romania,45.9432,24.9668,1/22/20,0,"45.9432,24.9668"
Estonia,Estonia,58.5953,25.0136,1/22/20,0,"58.5953,25.0136"
Netherlands,Netherlands,52.1326,5.2913,1/22/20,0,"52.1326,5.2913"
San Marino,San Marino,43.9424,12.4578,1/22/20,0,"43.9424,12.4578"
Belarus,Belarus,53.7098,27.9534,1/22/20,0,"53.7098,27.9534"
Iceland,Iceland,64.9631,-19.0208,1/22/20,0,"64.9631,-19.0208"
Lithuania,Lithuania,55.1694,23.8813,1/22/20,0,"55.1694,23.8813"
Mexico,Mexico,23.6345,-102.5528,1/22/20,0,"23.6345,-102.5528"
New Zealand,New Zealand,-40.9006,174.886,1/22/20,0,"-40.9006,174.886"
Nigeria,Nigeria,9.082,8.6753,1/22/20,0,"9.082,8.6753"
Western Australia,Australia,-31.9505,115.8605,1/22/20,0,"-31.9505,115.8605"
Ireland,Ireland,53.1424,-7.6921,1/22/20,0,"53.1424,-7.6921"
Luxembourg,Luxembourg,49.8153,6.1296,1/22/20,0,"49.8153,6.1296"
Monaco,Monaco,43.7333,7.4167,1/22/20,0,"43.7333,7.4167"
Qatar,Qatar,25.3548,51.1839,1/22/20,0,"25.3548,51.1839"
Ecuador,Ecuador,-1.8312,-78.1834,1/22/20,0,"-1.8312,-78.1834"
Azerbaijan,Azerbaijan,40.1431,47.5769,1/22/20,0,"40.1431,47.5769"
Armenia,Armenia,40.0691,45.0382,1/22/20,0,"40.0691,45.0382"
